router_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
r1,-3.038245498559611,-3.027092949477168,-2.6766629531420008,-2.276842834823751,-1.806751288978437,-2.191730561419091,-2.601294405029264,-2.9850251810687385,-3.2916101795595787,-3.512648477484119,-3.5776711785468374,-3.5670936213919155,-3.5832117601416393,-3.5712180327542655,-3.583023938977229,-3.571462833078634,-3.5829551623636844,-3.7687123514001954,-3.792333772712722,-3.7812467531779776,-3.923134855266207,-3.943513835822289,-3.791342560725858,-3.5875701801054363
r2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
r3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
r4,-9.46096714844022,-9.57914138644375,-7.999579038149365,-6.264890527476341,-4.590473847033756,-5.572449343103652,-7.565342555397677,-9.293941099868123,-10.581166535369137,-12.553263636478581,-12.82899101452662,-12.683081016504888,-12.705387256743265,-12.629780702440552,-12.695297505239505,-12.788535899197907,-12.729461338516106,-13.836886476401897,-14.271441975507312,-14.45322975437453,-15.37772467459327,-15.93611691823114,-14.433002984116538,-12.844461876173716
r7,-9.407385927842684,-9.385500404538083,-7.8887900884499205,-6.191425016817433,-4.538718394207427,-5.607573937316996,-7.397544953620957,-9.051940453581421,-10.54092383633575,-12.37127108853345,-12.784853701703423,-12.580119335298914,-12.58752913551899,-12.73387976721665,-12.62554207837755,-12.744678869332507,-12.567596485265097,-13.79353719699016,-14.175897288240957,-14.34178565217881,-15.589180148782269,-15.797679794632813,-14.378663260123359,-12.659566382973589
