router_id,min_power_consumption_watts
r1,702.697437024473
r2,702.7285924108058
r3,702.8934293419563
r4,69.58303681458295
r5,69.58314215468302
r6,69.58323061416498
r7,69.5831129574151
r8,69.58312335167278
r9,69.5831105853284
rg,69.58331232024278
ru,70.3354789545695
