router_id,power_sum
r1,17425.064151080333
r2,16874.198877721003
r3,16873.51019247769
r4,1875.8556646366326
r5,1875.7831605907281
r6,1679.0391134599367
r7,1875.821508867563
r8,1875.7351464639023
r9,1686.667467818268
rg,1875.8817645739266
ru,1846.3782216779182
