router_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
r1,-11566.528415795918,-11566.765406467754,-11743.751421546152,-13533.147875334507,-8950.334963757727,-8670.321355788881,-8637.696598640861,-15822.669763774931,-19564.524275781714,-5694.351238132096,-15046.8417545648,-10186.685173596092,-24075.36521495268,-11537.95828584366,-15710.290499963332,-13239.719213649141,-17748.66587211548,-22400.087456764708,-22539.273467664265,-12622.092336490028,-14897.210852835591,-19536.47997444396,-13405.490119139024,-11915.320750693932
r2,99.77626083784624,99.78642601302273,99.61961316696798,96.09064442595118,99.64254041068095,99.52374322920676,99.57892644153942,99.99747909310025,99.80124441702013,99.81869158287108,99.89423525067676,99.9999736536065,99.69784419469215,99.91267733193334,99.63956623236764,99.877010113472,99.32226651450598,99.82759190084023,99.99998032136877,99.90031130093487,99.67420998742969,99.88704501111567,99.90272622861755,99.64193306859687
r3,99.75886022772218,99.83876210028679,99.31909894100183,96.04276051839655,99.99971268504764,99.67940106459177,99.53864622200587,99.85768513160293,99.7869364142792,99.99983885338241,99.88262045227886,99.99986103274102,99.9998172748661,99.80728004173807,99.80576037518128,99.86288985132965,99.99996960682581,99.81554172947624,99.99997076306049,99.99986259287914,99.64726239930428,99.8762248464949,99.88982387461341,99.99984631786003
r4,-1695.159740330611,-1322.0359343944342,-1148.9723392218878,-863.8566912292927,-632.9530140816108,-615.7532220070948,-1289.4644322982438,-1666.620406993312,-1270.2357649664077,-2241.734574933768,-2299.852269327274,-1822.3389283962483,-1753.60959062467,-1741.8151538081,-1824.4133706041584,-2292.658163272593,-1831.2357095979796,-1604.37970197677,-2053.024194530705,-2588.7858778340446,-1782.4363742845,-2292.5359124983097,-1992.5075159983662,-1772.5286621541582
r5,-40154752.92643798,-33377382.479018357,-31721985.248770148,-27575554.43959756,-34294981.6357346,-21985135.235006113,-16577.387570202034,-102104593.343044,-43432915.23892664,-56569646.05559529,-134694210.24243802,-52621482.80090837,-53752705.84017738,-116616689.01125371,-60962193.81818749,-136168723.72644073,-53972197.59320304,-128261416.2272597,-62324144.390063584,-180861259.51731855,-53679994.53592913,-135606728.0962492,-56096681.239036076,-54665735.229907826
r6,96.41725139596751,95.7199248815658,95.22915388870882,93.53522456647177,91.31447740456495,93.98818250331294,96.20247483070472,95.01732515278101,96.38429706205389,97.60456616904091,96.36175791395215,96.76859691114257,97.18331409578728,96.95181387823423,97.40634912206119,97.2178534710219,96.31794858367475,97.13346600030907,96.86810323110275,98.19523678711333,98.31524063748898,97.16837910606459,96.30045783998351,97.28850650912823
r7,-1308.7157696204479,-1092.5976415911634,-1100.4748042644178,-828.7815796936112,-633.132912199338,-649.9602456627181,-988.6694747785867,-1191.0930200458818,-1227.1275134282673,-1722.5072674760436,-2223.7359039755324,-1681.9206237049275,-1684.9629445374824,-2103.92316502705,-1759.1144006730328,-2105.705557151753,-1653.6921824746241,-1605.779654885389,-1897.578286413986,-2320.042971786452,-2159.5442366695283,-2203.7100207543767,-1923.0536527398335,-1472.347907122688
r8,-1512.5247176412913,-1608.675196952737,-1318.9622583210705,-1035.6109823271288,-745.1824571189472,-990.7885042881396,-1241.6761216227867,-1580.7120989464145,-1804.79175483863,-3437.0900042976687,-2795.3383216734887,-2663.1906028524054,-2135.499633058308,-2796.8952483888615,-2799.6203251524284,-2075.7847597585846,-2797.762204436821,-1962.190593300085,-2510.48581041644,-5828.531667364882,-2561.07244394659,-2682.2930399613133,-3198.1359969308787,-1800.4914396013987
r9,94.13798705001936,95.43867728928348,93.9642117191642,90.4988701828851,88.36656626841352,94.47003985707082,95.6760490059329,93.82266228356744,95.94957030106941,95.40721521554659,95.47724114903197,95.65830683445925,94.62133381879066,96.34505231120895,95.48828370556176,95.36736035607663,95.64845734387937,95.62113415135171,96.89398839280418,95.98665433108603,97.16735945403452,96.37461734453416,96.17760174658761,95.53292155246118
rg,-1.0868435446142766,-5.860536800355705,-10.22028943204961,-90.47557549163581,-20.818225082724172,-559.3143934356757,-8.196198682431016,-4.265521352035792,-3.1062046885455326,-2.943472908735454,-3.461628120249204,-3.2161814443018244,-3.4005596659908335,-3.0849517471374694,-3.486870012778172,-3.256426047382811,-3.261072567440245,-2.667697766013656,-2.8888046273943657,-3.0215800071815493,-2.5269512583458518,-2.685992814215939,-3.3177173365044057,-3.834341858459451
ru,2.9451941242366493,-0.7634522508749495,0.21215764555988162,-18.829957766913207,-inf,-46.90337792144052,1.9123099388785167,1.3239713761254899,0.7113704954008695,0.8801872093693363,-0.29371205207391565,-0.2348401707412952,-0.10968455981936699,0.4513941761392544,0.02789265184260155,-0.05958380823484933,0.2805970152023005,0.21503466521877673,0.006487984091441316,0.04441654183117138,-0.19993107441047012,0.877964783549008,-1.0255832774676008,-0.6801367495967224
