experiment_id,router_id,power_consumption_watts,node_exporter_collector_timestamp,kafka_producer_timestamp,flink_aggregation_timestamp,ml_timestamp
NEA_1,r1,70.24674107574985,1753876798.7076893,1753876798.7813106,1753876798.800,1753876798.8181162
NEA_1,r1,69.93260217408873,1753876805.5656521,1753876805.634357,1753876805.704,1753876805.723739
NEA_1,r1,70.90510318207359,1753876812.4786355,1753876812.5662005,1753876812.609,1753876812.627886
NEA_1,r1,69.9326021579305,1753876819.3595643,1753876819.4546273,1753876819.515,1753876819.5345547
NEA_1,r1,70.11724061935311,1753876826.4580884,1753876826.5308802,1753876826.621,1753876826.6392105
NEA_1,r1,70.11724084678978,1753876833.3197815,1753876833.414481,1753876833.428,1753876833.4461997
NEA_1,r1,70.90510127540503,1753876840.1949873,1753876840.2747898,1753876840.335,1753876840.3530831
NEA_1,r1,70.11724090568475,1753876846.9979067,1753876847.0575726,1753876847.142,1753876847.159771
NEA_1,r1,69.75053541880894,1753876853.8841872,1753876853.985854,1753876854.049,1753876854.0680127
NEA_1,r1,69.60244076181434,1753876860.7275949,1753876860.7916343,1753876860.855,1753876860.87436
NEA_1,r1,69.66436927916413,1753876867.6941817,1753876867.7568133,1753876867.762,1753876867.781886
NEA_1,r1,69.66555073209858,1753876874.4553611,1753876874.5553818,1753876874.570,1753876874.588873
NEA_1,r1,69.66393950544727,1753876881.5360448,1753876881.6072752,1753876881.678,1753876881.6990077
NEA_1,r1,69.66682843313005,1753876888.547387,1753876888.616035,1753876888.685,1753876888.7043319
NEA_1,r1,69.66390304684575,1753876895.4978535,1753876895.5723622,1753876895.593,1753876895.6158612
NEA_1,r1,69.6657943806255,1753876902.3611848,1753876902.4252229,1753876902.500,1753876902.520151
NEA_1,r1,69.66544010871642,1753876909.3235888,1753876909.384233,1753876909.407,1753876909.4264803
NEA_1,r1,69.6656966929445,1753876916.354735,1753876916.4339416,1753876916.515,1753876916.536076
NEA_1,r1,69.65227169646629,1753876923.238382,1753876923.3269298,1753876923.422,1753876923.4418013
NEA_1,r1,69.65303134616369,1753876930.218488,1753876930.2818048,1753876930.330,1753876930.3491023
NEA_1,r1,69.6554502520319,1753876937.063077,1753876937.1377234,1753876937.237,1753876937.2500405
NEA_1,r1,69.65341123771768,1753876944.0662277,1753876944.1481147,1753876944.244,1753876944.2633834
NEA_1,r1,69.65358503534587,1753876950.885088,1753876950.9495783,1753876951.052,1753876951.0713882
NEA_1,r1,69.65341574736834,1753876957.6918862,1753876957.7708688,1753876957.859,1753876957.8776398
NEA_1,r1,69.65376064778916,1753876964.6944354,1753876964.7850375,1753876964.866,1753876964.8856132
NEA_1,r1,69.65370447936604,1753876971.7786186,1753876971.8578198,1753876971.872,1753876971.8933609
NEA_1,r1,69.64663397193287,1753876978.816926,1753876978.8831637,1753876978.980,1753876978.9990213
NEA_1,r1,69.64265486345235,1753876985.7936542,1753876985.8913405,1753876985.988,1753876986.0079014
NEA_1,r1,69.64283083206766,1753876992.846818,1753876992.9429953,1753876992.995,1753876993.0143013
NEA_1,r1,69.64087183550863,1753876999.901803,1753876999.964541,1753877000.003,1753877000.0229309
NEA_1,r1,69.64279625291897,1753877007.0410001,1753877007.1126425,1753877007.210,1753877007.2300968
NEA_1,r1,69.64222486893696,1753877014.0870748,1753877014.1686203,1753877014.218,1753877014.2366116
NEA_1,r1,69.6418093488234,1753877020.9869988,1753877021.0601888,1753877021.125,1753877021.144798
NEA_1,r1,69.64137402064108,1753877028.0136697,1753877028.0811129,1753877028.133,1753877028.1522481
NEA_1,r1,69.64180556710497,1753877034.9438102,1753877035.0233548,1753877035.041,1753877035.059992
NEA_1,r1,69.63176938195468,1753877041.8766744,1753877041.9633567,1753877042.048,1753877042.066875
NEA_1,r1,69.63102006912304,1753877048.805835,1753877048.8708813,1753877048.955,1753877048.9739652
NEA_1,r1,69.63013040977252,1753877055.8217032,1753877055.936757,1753877055.963,1753877055.9822617
NEA_1,r1,69.63006636686013,1753877062.8140795,1753877062.8759425,1753877062.972,1753877062.990806
NEA_1,r1,69.63012392323557,1753877069.731718,1753877069.7971776,1753877069.878,1753877069.8976963
NEA_1,r1,69.62947838921195,1753877076.7369153,1753877076.8591404,1753877076.886,1753877076.9052844
NEA_1,r1,69.63026933787718,1753877083.692798,1753877083.7527692,1753877083.794,1753877083.812787
NEA_1,r1,69.63003106597819,1753877090.7135863,1753877090.7889414,1753877090.800,1753877090.8196073
NEA_1,r1,69.62765283164335,1753877097.6201613,1753877097.7082803,1753877097.808,1753877097.8335505
NEA_1,r1,69.61814707253627,1753877104.683208,1753877104.7474942,1753877104.814,1753877104.8343422
NEA_1,r1,69.61893027886748,1753877111.3960972,1753877111.4745572,1753877111.520,1753877111.5391982
NEA_1,r1,69.61826358840835,1753877118.3075821,1753877118.4073827,1753877118.428,1753877118.4476068
NEA_1,r1,69.61790849901914,1753877125.314667,1753877125.386692,1753877125.436,1753877125.4559495
NEA_1,r1,69.61833310425195,1753877132.2486455,1753877132.331395,1753877132.343,1753877132.3641737
NEA_1,r1,69.61811801569819,1753877139.1122699,1753877139.181287,1753877139.251,1753877139.2708569
NEA_1,r1,69.61902706163073,1753877146.0527482,1753877146.1188686,1753877146.158,1753877146.1783013
NEA_1,r1,69.61683868685036,1753877153.139112,1753877153.2393672,1753877153.268,1753877153.287987
NEA_1,r1,69.62344349293501,1753877160.129162,1753877160.1956995,1753877160.276,1753877160.2951274
NEA_1,r1,69.63024860029077,1753877167.0091934,1753877167.0772047,1753877167.083,1753877167.1028535
