experiment_id,router_id,power_consumption_watts,node_exporter_collector_timestamp,kafka_producer_timestamp,process_timestamp,ml_timestamp
EA_1,r1,70.24674053393998,1753170959.8305924,1753170959.9373913,1753170960.019,1753170960.1681478
EA_1,r1,69.93260216207341,1753170966.7056181,1753170966.7746847,1753170966.796,1753170966.8192728
EA_1,r1,70.24674084244327,1753170973.6425874,1753170973.7177494,1753170973.803,1753170973.8254175
EA_1,r1,69.93260215104628,1753170980.5333476,1753170980.6038506,1753170980.71,1753170980.7342093
EA_1,r1,70.90510324059618,1753170987.39455,1753170987.4803753,1753170987.518,1753170987.5429723
EA_1,r1,69.93260215422184,1753170994.2807717,1753170994.36587,1753170994.426,1753170994.4483762
EA_1,r1,69.93260213517274,1753171001.1943085,1753171001.283936,1753171001.394,1753171001.4179125
EA_1,r1,70.24674107592999,1753171007.9497664,1753171008.0100439,1753171008.101,1753171008.1286545
EA_1,r1,70.90509932122048,1753171014.8336363,1753171014.9100792,1753171015.007,1753171015.0284038
EA_1,r1,70.24674095941083,1753171021.6784725,1753171021.737616,1753171021.814,1753171021.834985
EA_1,r1,69.9326021613743,1753171028.5544937,1753171028.613205,1753171028.721,1753171028.742008
EA_1,r1,70.24674093941091,1753171035.4149096,1753171035.5056539,1753171035.529,1753171035.5534542
EA_1,r1,70.90509932413848,1753171042.2936244,1753171042.3554761,1753171042.436,1753171042.4573178
EA_1,r1,70.11724070450953,1753171049.3015845,1753171049.3615353,1753171049.444,1753171049.4655907
EA_1,r1,70.11724084538996,1753171056.164687,1753171056.2418518,1753171056.251,1753171056.2716942
EA_1,r1,69.93260215069756,1753171063.0559459,1753171063.125372,1753171063.159,1753171063.1802483
EA_1,r1,70.24674090377404,1753171069.944299,1753171070.0434618,1753171070.065,1753171070.0843933
EA_1,r1,70.90509932771074,1753171076.8167133,1753171076.8926892,1753171076.972,1753171076.9918447
EA_1,r1,70.24674111430345,1753171083.5432448,1753171083.6059592,1753171084.387,1753171084.407579
EA_1,r1,69.93260208903206,1753171090.5238512,1753171090.637664,1753171090.695,1753171090.7163842
EA_1,r1,70.24674084739706,1753171097.4568682,1753171097.5246625,1753171097.604,1753171097.6250136
EA_1,r1,70.90509931159886,1753171104.357791,1753171104.4280949,1753171104.512,1753171104.5328667
EA_1,r1,70.24674028477834,1753171111.7704623,1753171111.874427,1753171111.921,1753171111.9400318
EA_1,r1,69.93260222208232,1753171118.5611062,1753171118.6296244,1753171118.729,1753171118.7491186
EA_1,r1,70.11724081774733,1753171125.4521575,1753171125.520279,1753171125.536,1753171125.557975
EA_1,r1,70.9051009949587,1753171132.6736884,1753171132.7723112,1753171132.844,1753171132.8636298
EA_1,r1,70.11724083506036,1753171139.5472083,1753171139.6082864,1753171139.651,1753171139.6708534
