experiment_id,router_id,power_consumption_watts,node_exporter_collector_timestamp,kafka_producer_timestamp,flink_aggregation_timestamp,ml_timestamp
EA_3,r1,70.11724027233821,1753867574.4145503,1753867574.5137951,1753867574.615,1753867574.6340768
EA_3,r1,70.11724074639281,1753867581.37881,1753867581.4514945,1753867581.523,1753867581.5445411
EA_3,r1,69.68380337208505,1753867588.288714,1753867588.4045541,1753867588.431,1753867588.4505556
EA_3,r1,69.71164237676756,1753867595.3278272,1753867595.4191124,1753867595.438,1753867595.456466
EA_3,r1,69.58957841489232,1753867602.2721727,1753867602.3641005,1753867602.446,1753867602.4656587
EA_3,r1,69.66142039472153,1753867609.7336736,1753867609.7948015,1753867609.854,1753867609.8731732
EA_3,r1,69.6719698898843,1753867616.5971065,1753867616.6616375,1753867616.763,1753867616.7821035
EA_3,r1,69.66954139046365,1753867623.53146,1753867623.6149604,1753867623.671,1753867623.6899793
EA_3,r1,69.67273783573256,1753867630.5098617,1753867630.576318,1753867630.678,1753867630.697458
EA_3,r1,69.66947294269558,1753867637.6070583,1753867637.6700873,1753867637.686,1753867637.7066338
EA_3,r1,69.67340175654476,1753867644.6430755,1753867644.7112257,1753867644.793,1753867644.8137128
EA_3,r1,69.67182547581156,1753867651.5710852,1753867651.6312218,1753867651.700,1753867651.7210827
EA_3,r1,69.67147408661319,1753867658.5024166,1753867658.56325,1753867658.607,1753867658.6259098
EA_3,r1,69.66066336256476,1753867665.3376496,1753867665.4373853,1753867665.514,1753867665.5328178
EA_3,r1,69.65902795551438,1753867672.5584729,1753867672.6182218,1753867672.721,1753867672.7414546
EA_3,r1,69.66077796273144,1753867679.5430472,1753867679.6029956,1753867679.628,1753867679.6476378
EA_3,r1,69.65854337802841,1753867686.4450836,1753867686.541543,1753867686.635,1753867686.6549373
EA_3,r1,69.66024123615702,1753867693.7379065,1753867693.800193,1753867693.843,1753867693.8614051
EA_3,r1,69.65911344690255,1753867700.6099007,1753867700.671942,1753867700.750,1753867700.7680671
EA_3,r1,69.65953961534173,1753867707.5697968,1753867707.6730597,1753867707.756,1753867707.7751231
EA_3,r1,69.65885444812827,1753867714.57668,1753867714.6382022,1753867714.662,1753867714.680901
EA_3,r1,69.65658644049105,1753867721.475223,1753867721.5569296,1753867721.567,1753867721.5867968
EA_3,r1,69.64769879496838,1753867728.388797,1753867728.4687114,1753867728.473,1753867728.491517
EA_3,r1,69.64628156585873,1753867735.4018502,1753867735.471125,1753867735.481,1753867735.5007257
EA_3,r1,69.64632395509099,1753867742.3339705,1753867742.4317417,1753867742.489,1753867742.507622
EA_3,r1,69.64822502857388,1753867749.3412793,1753867749.4155493,1753867749.497,1753867749.5153713
EA_3,r1,69.64647085509975,1753867756.326681,1753867756.3920748,1753867756.407,1753867756.4268858
EA_3,r1,69.64807192224212,1753867763.256121,1753867763.3551939,1753867763.416,1753867763.4400456
EA_3,r1,69.64623308776552,1753867770.2576303,1753867770.3184023,1753867770.323,1753867770.3426123
EA_3,r1,69.64864610977098,1753867777.7670236,1753867777.829837,1753867777.931,1753867777.9493463
EA_3,r1,69.63823092782955,1753867784.5887969,1753867784.6961935,1753867784.738,1753867784.7568045
EA_3,r1,69.63495511298579,1753867791.6019228,1753867791.6718612,1753867791.745,1753867791.764142
EA_3,r1,69.6350915790937,1753867798.5881882,1753867798.684207,1753867798.753,1753867798.7725992
EA_3,r1,69.6348814026834,1753867805.6664505,1753867805.7744904,1753867805.861,1753867805.8805966
EA_3,r1,69.63047659745327,1753867813.212374,1753867813.2762835,1753867813.369,1753867813.3890588
EA_3,r1,69.63899093803767,1753867820.2410135,1753867820.3240845,1753867820.376,1753867820.3951356
EA_3,r1,69.63481847110653,1753867827.16106,1753867827.270525,1753867827.284,1753867827.309603
EA_3,r1,69.63605336609403,1753867834.4256845,1753867834.4860556,1753867834.492,1753867834.512334
EA_3,r1,69.63251831595528,1753867841.753264,1753867841.8514993,1753867841.900,1753867841.9198842
EA_3,r1,69.6229704143746,1753867848.6921608,1753867848.779855,1753867848.808,1753867848.8289685
EA_3,r1,69.62178842324337,1753867855.6649947,1753867855.7252793,1753867855.816,1753867855.834263
EA_3,r1,69.62353307176431,1753867862.6022503,1753867862.7052882,1753867862.722,1753867862.7404242
EA_3,r1,69.62252373596003,1753867869.5919623,1753867869.6536794,1753867869.729,1753867869.747451
EA_3,r1,69.62273535251568,1753867876.5533764,1753867876.626661,1753867876.638,1753867876.6572762
EA_3,r1,69.62241406604358,1753867883.5497713,1753867883.657785,1753867883.745,1753867883.7641232
EA_3,r1,69.62320773601148,1753867890.5312696,1753867890.5970087,1753867890.652,1753867890.671597
EA_3,r1,69.62289426588946,1753867897.4772983,1753867897.5494652,1753867897.559,1753867897.5846934
EA_3,r1,69.625201848264,1753867904.4242399,1753867904.5209742,1753867904.570,1753867904.5910661
EA_3,r1,69.63469524586446,1753867911.4116976,1753867911.4767413,1753867911.578,1753867911.5963774
EA_3,r1,69.63587179796231,1753867918.8766758,1753867918.9497077,1753867918.987,1753867919.0060441
EA_3,r1,69.63526427890126,1753867925.7541409,1753867925.8376403,1753867925.894,1753867925.9128313
EA_3,r1,69.63474448797014,1753867932.6221082,1753867932.7049055,1753867932.802,1753867932.8217633
EA_3,r1,69.63475514722269,1753867940.0073588,1753867940.0694427,1753867940.109,1753867940.127084
EA_3,r1,69.63535110254386,1753867946.981981,1753867947.083359,1753867947.116,1753867947.1353357
EA_3,r1,69.63477199675127,1753867953.9898307,1753867954.0723453,1753867954.124,1753867954.1430047
EA_3,r1,69.63400371874972,1753867960.972774,1753867961.0726101,1753867961.132,1753867961.151296
EA_3,r1,69.64443073729234,1753867967.9756646,1753867968.0348828,1753867968.039,1753867968.0587678
EA_3,r1,69.64739492356433,1753867974.9331024,1753867975.0121412,1753867975.046,1753867975.0640762
EA_3,r1,69.64742319444255,1753867981.8350387,1753867981.9161623,1753867981.951,1753867981.9695175
EA_3,r1,69.64473203889017,1753867988.870035,1753867988.9309688,1753867988.957,1753867988.9751923
EA_3,r1,69.64946885235851,1753867995.7837224,1753867995.886252,1753867995.962,1753867995.98178
EA_3,r1,69.64744216112051,1753868003.0734897,1753868003.156305,1753868003.168,1753868003.1863635
EA_3,r1,69.6468102092885,1753868009.9553237,1753868010.0227659,1753868010.074,1753868010.0924244
EA_3,r1,69.64724622983513,1753868016.993477,1753868017.0624971,1753868017.081,1753868017.099269
EA_3,r1,69.65014380827239,1753868024.0967321,1753868024.177554,1753868024.188,1753868024.2062366
EA_3,r1,69.65875742994504,1753868031.5165236,1753868031.577964,1753868031.595,1753868031.613788
EA_3,r1,69.65854156722227,1753868038.20222,1753868038.2621057,1753868038.301,1753868038.3193207
EA_3,r1,69.65952943979828,1753868045.227176,1753868045.3094504,1753868045.408,1753868045.4267428
EA_3,r1,69.66006862458141,1753868052.0629885,1753868052.1270614,1753868052.214,1753868052.2327087
EA_3,r1,69.65942717365779,1753868059.1783092,1753868059.2524252,1753868059.319,1753868059.3382895
EA_3,r1,69.65880630566393,1753868066.1602273,1753868066.2541804,1753868066.325,1753868066.3445044
EA_3,r1,69.65881561451616,1753868073.2169225,1753868073.2774603,1753868073.332,1753868073.3505988
EA_3,r1,69.65873064781759,1753868080.1903043,1753868080.288425,1753868080.338,1753868080.3581223
EA_3,r1,69.66979987674189,1753868086.9999762,1753868087.0976121,1753868087.145,1753868087.1633666
EA_3,r1,69.67020025078946,1753868094.0150762,1753868094.0736816,1753868094.151,1753868094.1712868
EA_3,r1,69.67307991249875,1753868101.142201,1753868101.2353523,1753868101.259,1753868101.2777967
EA_3,r1,69.67139211391839,1753868108.1581545,1753868108.2546947,1753868108.268,1753868108.2892816
EA_3,r1,69.67035224992192,1753868115.6009548,1753868115.6710367,1753868115.776,1753868115.795185
EA_3,r1,69.67131445937986,1753868122.48099,1753868122.5792522,1753868122.683,1753868122.7026489
