experiment_id,router_id,power_consumption_watts,node_exporter_collector_timestamp,kafka_producer_timestamp,flink_aggregation_timestamp,ml_timestamp,telemetry_datetime
nea3,r1,1.0995532420565723e-05,1764865581.7461846,1764865581.8062704,1764865581.868,1764865581.8777132,04-12-2025T17:26:21
nea3,r1,0.28371196707701074,1764865586.7809725,1764865586.8439186,1764865586.873,1764865586.8830998,04-12-2025T17:26:26
nea3,r1,4.3928160948780715e-06,1764865591.7793963,1764865591.8273387,1764865591.878,1764865591.8877163,04-12-2025T17:26:31
nea3,r1,0.2837156837781549,1764865596.7878983,1764865596.833799,1764865596.884,1764865596.8936355,04-12-2025T17:26:36
nea3,r1,1.509871822236164e-06,1764865601.8021598,1764865601.8471022,1764865601.889,1764865601.8985507,04-12-2025T17:26:41
nea3,r1,0.2837175375833567,1764865606.7976537,1764865606.8444252,1764865606.893,1764865606.9034245,04-12-2025T17:26:46
nea3,r1,0.0,1764865612.0462537,1764865612.1102364,1764865612.198,1764865612.208979,04-12-2025T17:26:52
nea3,r1,0.0,1764865616.785707,1764865616.8604596,1764865616.902,1764865616.9106634,04-12-2025T17:26:56
nea3,r1,0.28371485596471757,1764865621.80004,1764865621.8542562,1764865621.907,1764865621.9148278,04-12-2025T17:27:01
nea3,r1,0.0,1764865626.824183,1764865626.8769147,1764865626.911,1764865626.9210703,04-12-2025T17:27:06
nea3,r1,0.1724174314206266,1764865631.820095,1764865631.8667831,1764865631.915,1764865631.9255228,04-12-2025T17:27:11
nea3,r1,7.140979846553819e-06,1764865636.8035147,1764865636.849875,1764865636.92,1764865636.9302895,04-12-2025T17:27:16
nea3,r1,0.28371261671998127,1764865641.8336885,1764865641.8942935,1764865641.926,1764865641.935249,04-12-2025T17:27:21
nea3,r1,0.0,1764865646.8596237,1764865646.920901,1764865646.93,1764865646.9378982,04-12-2025T17:27:26
nea3,r1,0.2837295213480502,1764865651.7726295,1764865651.819714,1764865651.834,1764865651.8433397,04-12-2025T17:27:31
nea3,r1,0.0,1764865656.8253582,1764865656.8710532,1764865656.938,1764865656.9480672,04-12-2025T17:27:36
nea3,r1,0.0,1764865661.8783607,1764865661.9272485,1764865661.942,1764865661.95127,04-12-2025T17:27:41
nea3,r1,0.28372820999379655,1764865666.80026,1764865666.8648412,1764865666.946,1764865666.955939,04-12-2025T17:27:46
nea3,r1,0.0,1764865671.856125,1764865671.9207036,1764865671.949,1764865671.9596486,04-12-2025T17:27:51
nea3,r1,0.2840739798634786,1764865676.8536444,1764865676.912769,1764865676.954,1764865676.9640913,04-12-2025T17:27:56
nea3,r1,1.6754265743657015e-06,1764865681.8669934,1764865681.9156053,1764865681.957,1764865681.9681392,04-12-2025T17:28:01
nea3,r1,0.2837171348871834,1764865686.865307,1764865686.9107528,1764865686.961,1764865686.9705825,04-12-2025T17:28:06
nea3,r1,9.916185490510543e-06,1764865691.8336663,1764865691.8916547,1764865691.964,1764865691.9751403,04-12-2025T17:28:11
nea3,r1,0.2837154918854594,1764865696.843519,1764865696.9186687,1764865696.968,1764865696.9781566,04-12-2025T17:28:16
nea3,r1,1.6606395847477415,1764865701.8160486,1764865701.8873205,1764865701.973,1764865701.9836495,04-12-2025T17:28:21
nea3,r1,0.0,1764865706.8643494,1764865706.92722,1764865706.977,1764865706.9869854,04-12-2025T17:28:26
nea3,r1,0.28371228329092446,1764865711.8968902,1764865711.945062,1764865711.981,1764865711.9913266,04-12-2025T17:28:31
nea3,r1,0.0,1764865716.8501658,1764865716.8965728,1764865716.986,1764865716.9965656,04-12-2025T17:28:36
nea3,r1,0.28371672173511797,1764865721.8513763,1764865721.8973331,1764865721.991,1764865722.0011747,04-12-2025T17:28:41
nea3,r1,0.5032425387422563,1764865726.860854,1764865726.9239004,1764865726.996,1764865727.005545,04-12-2025T17:28:46
nea3,r1,0.8650719695465341,1764865731.8833947,1764865731.9426165,1764865732.0,1764865732.010491,04-12-2025T17:28:51
nea3,r1,3.6818771604885114e-06,1764865736.8857148,1764865736.932698,1764865737.003,1764865737.0131686,04-12-2025T17:28:56
nea3,r1,0.2837204065962169,1764865741.8612092,1764865741.906227,1764865742.007,1764865742.017719,04-12-2025T17:29:01
nea3,r1,0.0,1764865746.883915,1764865746.927923,1764865747.011,1764865747.0215569,04-12-2025T17:29:06
nea3,r1,1.0407724485543213,1764865751.8742929,1764865751.9208443,1764865752.015,1764865752.02462,04-12-2025T17:29:11
nea3,r1,0.2837203360352305,1764865756.8502772,1764865756.9146714,1764865756.918,1764865756.9264903,04-12-2025T17:29:16
nea3,r1,0.0,1764865761.90214,1764865761.9649816,1764865762.022,1764865762.0308366,04-12-2025T17:29:21
nea3,r1,0.2840795404679284,1764865766.873827,1764865766.9296591,1764865767.026,1764865767.0365417,04-12-2025T17:29:26
nea3,r1,0.0,1764865771.929131,1764865771.9841585,1764865772.03,1764865772.0408056,04-12-2025T17:29:31
nea3,r1,0.28372064303380284,1764865776.9029844,1764865776.9593806,1764865777.033,1764865777.043336,04-12-2025T17:29:36
