experiment_id,router_id,power_consumption_watts,node_exporter_collector_timestamp,kafka_producer_timestamp,flink_aggregation_timestamp,ml_timestamp,telemetry_datetime
test,r1,718.913682959078,1764851864.5906465,1764851864.6501465,1764851864.682,1764851864.693148,04-12-2025T13:37:44
test,r1,718.301480340381,1764851869.5842888,1764851869.637929,1764851869.687,1764851869.6982856,04-12-2025T13:37:49
test,r1,718.612297102023,1764851874.586243,1764851874.6334012,1764851874.691,1764851874.7034688,04-12-2025T13:37:54
test,r1,717.777154857418,1764851879.9078686,1764851879.953976,1764851879.996,1764851880.0058403,04-12-2025T13:37:59
test,r1,719.3994921644403,1764851884.6440852,1764851884.7083702,1764851884.8,1764851884.8107245,04-12-2025T13:38:04
test,r1,718.6426726323308,1764851889.6017013,1764851889.663587,1764851889.704,1764851889.715952,04-12-2025T13:38:09
test,r1,718.5663327136588,1764851894.633875,1764851894.6795878,1764851894.708,1764851894.7191548,04-12-2025T13:38:14
test,r1,718.9410573918642,1764851899.5678875,1764851899.6166112,1764851899.713,1764851899.7231214,04-12-2025T13:38:19
test,r1,717.9211655950022,1764851904.6038609,1764851904.6520848,1764851904.718,1764851904.7288804,04-12-2025T13:38:24
test,r1,715.2779350497353,1764851909.617364,1764851909.663947,1764851909.723,1764851909.7344272,04-12-2025T13:38:29
test,r1,715.4812824748622,1764851914.561497,1764851914.6359117,1764851914.728,1764851914.7387302,04-12-2025T13:38:34
test,r1,715.3071280576485,1764851919.6043315,1764851919.6742356,1764851919.881,1764851919.8929362,04-12-2025T13:38:39
test,r1,715.3019691875218,1764851924.6086802,1764851924.6617398,1764851924.685,1764851924.6967728,04-12-2025T13:38:44
test,r1,715.3007870351115,1764851929.6253293,1764851929.6744547,1764851929.689,1764851929.7005577,04-12-2025T13:38:49
test,r1,715.4330212615856,1764851934.589508,1764851934.6343322,1764851934.694,1764851934.704322,04-12-2025T13:38:54
test,r1,715.5154393178683,1764851939.6227,1764851939.6694455,1764851939.698,1764851939.7095735,04-12-2025T13:38:59
test,r1,715.3748804501373,1764851944.5983052,1764851944.6580143,1764851944.702,1764851944.712895,04-12-2025T13:39:04
test,r1,715.356750223138,1764851949.5875003,1764851949.6483116,1764851949.706,1764851949.7174833,04-12-2025T13:39:09
test,r1,715.1213112091942,1764851954.6399393,1764851954.6869855,1764851954.71,1764851954.720729,04-12-2025T13:39:14
test,r1,715.3266567074796,1764851959.6283484,1764851959.6754906,1764851959.714,1764851959.725892,04-12-2025T13:39:19
test,r1,715.4820431661005,1764851964.557252,1764851964.6039748,1764851964.619,1764851964.6305437,04-12-2025T13:39:24
test,r1,718.1175253734574,1764851969.6462083,1764851969.710473,1764851969.724,1764851969.7340465,04-12-2025T13:39:29
test,r1,718.5845724902513,1764851974.5989373,1764851974.662133,1764851974.729,1764851974.739723,04-12-2025T13:39:34
test,r1,718.8762581607823,1764851979.6103516,1764851979.672248,1764851979.734,1764851979.7447505,04-12-2025T13:39:39
test,r1,718.5249449380705,1764851984.610466,1764851984.6562629,1764851984.739,1764851984.7501674,04-12-2025T13:39:44
test,r1,718.2707724744993,1764851989.6623385,1764851989.7190168,1764851989.744,1764851989.784503,04-12-2025T13:39:49
test,r1,718.6697072228205,1764851994.6368294,1764851994.68964,1764851994.747,1764851994.7587736,04-12-2025T13:39:54
test,r1,718.6634680366161,1764851999.6420417,1764851999.7044425,1764851999.751,1764851999.7611723,04-12-2025T13:39:59
test,r1,718.5513389939977,1764852004.670292,1764852004.734029,1764852004.754,1764852004.7650435,04-12-2025T13:40:04
