experiment_id,router_id,power_consumption_watts,node_exporter_collector_timestamp,kafka_producer_timestamp,flink_aggregation_timestamp,ml_timestamp,telemetry_datetime
nea_1,r1,702.7201105452131,1762425019.889563,1762425019.9774272,1762425020.049,1762425020.064416,06-11-2025T11:30:19
nea_1,r1,702.8227637872648,1762425024.8981204,1762425024.9664528,1762425025.053,1762425025.0694523,06-11-2025T11:30:24
nea_1,r1,703.8410259405593,1762425029.8835647,1762425029.9381022,1762425029.956,1762425029.974162,06-11-2025T11:30:29
nea_1,r1,704.0560999483087,1762425034.836337,1762425034.8883765,1762425034.96,1762425034.979154,06-11-2025T11:30:34
nea_1,r1,702.7201105964614,1762425039.8517115,1762425039.9064157,1762425039.964,1762425039.9815557,06-11-2025T11:30:39
nea_1,r1,703.004020775786,1762425044.8589332,1762425044.9304328,1762425044.968,1762425044.9854548,06-11-2025T11:30:44
nea_1,r1,702.6962468246172,1762425049.887951,1762425049.9568508,1762425049.972,1762425049.990463,06-11-2025T11:30:49
nea_1,r1,703.004020852127,1762425054.8420613,1762425054.9099455,1762425054.976,1762425054.990872,06-11-2025T11:30:54
nea_1,r1,702.7201105397309,1762425059.8889086,1762425059.9443235,1762425059.98,1762425059.99585,06-11-2025T11:30:59
nea_1,r1,702.7201105638678,1762425064.922317,1762425064.9755836,1762425064.985,1762425064.999933,06-11-2025T11:31:04
nea_1,r1,703.0040208770603,1762425069.8593247,1762425069.9099364,1762425069.989,1762425070.004455,06-11-2025T11:31:09
nea_1,r1,702.7201102411141,1762425075.0785742,1762425075.1471174,1762425075.193,1762425075.2085922,06-11-2025T11:31:15
nea_1,r1,703.0040210293595,1762425079.9136226,1762425079.9827237,1762425079.998,1762425080.0127275,06-11-2025T11:31:19
nea_1,r1,703.6277954165572,1762425084.925384,1762425085.0084193,1762425085.102,1762425085.1183083,06-11-2025T11:31:24
nea_1,r1,703.0040206598221,1762425090.0154974,1762425090.0841632,1762425090.106,1762425090.1208544,06-11-2025T11:31:30
nea_1,r1,702.7201109310105,1762425094.8529692,1762425094.90719,1762425095.01,1762425095.025149,06-11-2025T11:31:34
nea_1,r1,703.0040207035993,1762425099.91147,1762425099.965617,1762425100.014,1762425100.030101,06-11-2025T11:31:39
nea_1,r1,703.6277955169312,1762425104.8786886,1762425104.9473596,1762425105.018,1762425105.0374546,06-11-2025T11:31:44
nea_1,r1,702.7201106463516,1762425109.866707,1762425109.9378135,1762425110.022,1762425110.0381074,06-11-2025T11:31:49
nea_1,r1,703.0040207485177,1762425114.8931766,1762425114.9610186,1762425115.027,1762425115.0430045,06-11-2025T11:31:54
nea_1,r1,702.7201106572992,1762425119.8752322,1762425119.9296544,1762425120.03,1762425120.0450954,06-11-2025T11:31:59
nea_1,r1,703.0040207594039,1762425124.8939998,1762425124.9489603,1762425125.034,1762425125.0495913,06-11-2025T11:32:04
nea_1,r1,702.6962460897713,1762425130.2324183,1762425130.2871237,1762425130.338,1762425130.353259,06-11-2025T11:32:10
nea_1,r1,703.0040251344761,1762425134.8914764,1762425134.9621892,1762425135.042,1762425135.057157,06-11-2025T11:32:14
