experiment_id,router_id,power_consumption_watts,node_exporter_collector_timestamp,kafka_producer_timestamp,flink_aggregation_timestamp,ml_timestamp
NEA_3,r1,70.24674089426138,1753951959.363004,1753951959.4412918,1753951959.529,1753951959.5464008
NEA_3,r1,69.93260214858626,1753951966.2572842,1753951966.3560448,1753951966.437,1753951966.455128
NEA_3,r1,70.90510309372334,1753951973.2499378,1753951973.3167114,1753951973.345,1753951973.3632078
NEA_3,r1,69.5899156800194,1753951980.1484795,1753951980.2347858,1753951980.252,1753951980.2720118
NEA_3,r1,69.6587619914019,1753951987.2704363,1753951987.3567753,1753951987.459,1753951987.4808967
NEA_3,r1,69.66613241753079,1753951994.128701,1753951994.1903496,1753951994.266,1753951994.2869864
NEA_3,r1,69.66496445008211,1753952001.026566,1753952001.1037867,1753952001.193,1753952001.2146943
NEA_3,r1,69.66593147449869,1753952008.0646017,1753952008.1287014,1753952008.200,1753952008.2227054
NEA_3,r1,69.66557023438052,1753952015.1056955,1753952015.192776,1753952015.208,1753952015.230328
NEA_3,r1,69.66370772038536,1753952022.0486572,1753952022.1321423,1753952022.216,1753952022.2369947
NEA_3,r1,69.66509475418036,1753952029.4436324,1753952029.5149941,1753952029.524,1753952029.5449426
NEA_3,r1,69.66715206985607,1753952036.4785702,1753952036.5574703,1753952036.631,1753952036.6526704
NEA_3,r1,69.6535367474779,1753952043.379224,1753952043.4387221,1753952043.539,1753952043.5600579
NEA_3,r1,69.65478808059281,1753952050.3755443,1753952050.4395626,1753952050.447,1753952050.4677703
NEA_3,r1,69.65397230610263,1753952057.2544425,1753952057.369827,1753952057.454,1753952057.476457
NEA_3,r1,69.653718795322,1753952064.1164238,1753952064.177151,1753952064.261,1753952064.282561
NEA_3,r1,69.65363277441466,1753952071.474092,1753952071.5242684,1753952071.568,1753952071.5896056
NEA_3,r1,69.65177725054048,1753952078.3900938,1753952078.4922578,1753952078.575,1753952078.5942
NEA_3,r1,69.6549833123207,1753952085.3312922,1753952085.3924015,1753952085.481,1753952085.5031545
NEA_3,r1,69.65391395083435,1753952092.3570735,1753952092.4173353,1753952092.489,1753952092.5106173
NEA_3,r1,69.6498582030195,1753952099.2221122,1753952099.317396,1753952099.396,1753952099.4168148
NEA_3,r1,69.64159572750256,1753952106.0963883,1753952106.1618423,1753952106.202,1753952106.2240126
NEA_3,r1,69.6414015851091,1753952113.013334,1753952113.0735211,1753952113.109,1753952113.1296036
NEA_3,r1,69.64205049492786,1753952119.8756647,1753952119.9949155,1753952120.016,1753952120.0385752
NEA_3,r1,69.64255346532195,1753952126.8500242,1753952126.9163692,1753952126.923,1753952126.9427855
NEA_3,r1,69.64032101904715,1753952133.8296077,1753952133.9205668,1753952133.931,1753952133.950365
NEA_3,r1,69.64224246976246,1753952140.8444483,1753952140.9211664,1753952140.938,1753952140.9576397
NEA_3,r1,69.64139951862015,1753952147.8704607,1753952147.932075,1753952147.944,1753952147.9630544
NEA_3,r1,69.6435093410099,1753952154.8152297,1753952154.9062788,1753952154.998,1753952155.0168908
NEA_3,r1,69.63399898985367,1753952161.79657,1753952161.8745763,1753952161.902,1753952161.9215794
NEA_3,r1,69.63062005437278,1753952168.836427,1753952168.8984976,1753952168.909,1753952168.928028
NEA_3,r1,69.62974275229537,1753952175.7613297,1753952175.8373723,1753952175.914,1753952175.9343836
NEA_3,r1,69.63030569261736,1753952182.67594,1753952182.737555,1753952182.819,1753952182.8420851
NEA_3,r1,69.62994312338255,1753952189.597995,1753952189.6889026,1753952189.726,1753952189.7471058
NEA_3,r1,69.62976172898937,1753952196.484211,1753952196.5768948,1753952196.634,1753952196.6541035
NEA_3,r1,69.62957486565061,1753952203.5224214,1753952203.5915973,1753952203.642,1753952203.662656
NEA_3,r1,69.63065450278407,1753952210.7266207,1753952210.8204024,1753952210.850,1753952210.8815389
NEA_3,r1,69.62990289752592,1753952217.7273185,1753952217.8101544,1753952217.857,1753952217.8773508
NEA_3,r1,69.61855047509104,1753952224.4904456,1753952224.5537927,1753952224.561,1753952224.5815845
NEA_3,r1,69.61788428198217,1753952231.3787947,1753952231.476388,1753952231.566,1753952231.5880103
NEA_3,r1,69.6177460583825,1753952238.3453472,1753952238.4470875,1753952238.473,1753952238.491904
NEA_3,r1,69.61885635653574,1753952245.4544227,1753952245.5172396,1753952245.581,1753952245.601108
NEA_3,r1,69.6186251502506,1753952252.403982,1753952252.5126398,1753952252.587,1753952252.6090097
NEA_3,r1,69.61741207618297,1753952259.3541808,1753952259.434093,1753952259.492,1753952259.511084
NEA_3,r1,69.61910389738783,1753952266.3049753,1753952266.368001,1753952266.399,1753952266.4178119
NEA_3,r1,69.6174317931134,1753952273.2420297,1753952273.3228393,1753952273.407,1753952273.4270415
NEA_3,r1,69.61837863104844,1753952280.2192588,1753952280.28259,1753952280.312,1753952280.3319905
NEA_3,r1,69.63121660542683,1753952287.5432694,1753952287.6080623,1753952287.618,1753952287.6364732
NEA_3,r1,69.6289237425236,1753952294.4510117,1753952294.5639853,1753952294.625,1753952294.6457589
NEA_3,r1,69.63006331607573,1753952301.615686,1753952301.687805,1753952301.733,1753952301.754244
NEA_3,r1,69.63008180028756,1753952308.667399,1753952308.7348282,1753952308.740,1753952308.7606907
NEA_3,r1,69.63008294578819,1753952315.5825233,1753952315.6817803,1753952315.747,1753952315.7675138
NEA_3,r1,69.6306755700278,1753952322.443534,1753952322.526475,1753952322.553,1753952322.5737708
NEA_3,r1,69.62919281006619,1753952329.40741,1753952329.4755554,1753952329.561,1753952329.5809565
