experiment_id,router_id,power_consumption_watts,node_exporter_collector_timestamp,kafka_producer_timestamp,flink_aggregation_timestamp,ml_timestamp
EA_2,r1,70.90510125753286,1753873256.933439,1753873256.9830902,1753873257.014,1753873257.0287085
EA_2,r1,69.73334807190474,1753873263.7119992,1753873263.7864025,1753873263.820,1753873263.8360631
EA_2,r1,70.11724083301159,1753873270.587589,1753873270.6448872,1753873270.726,1753873270.7412012
EA_2,r1,69.93260224230795,1753873277.3502574,1753873277.4389381,1753873277.533,1753873277.5520182
EA_2,r1,70.9051029106657,1753873284.513971,1753873284.5710218,1753873284.641,1753873284.656207
EA_2,r1,69.93260212821208,1753873291.4375432,1753873291.500538,1753873291.549,1753873291.5648391
EA_2,r1,69.59217374100454,1753873298.3485632,1753873298.4365396,1753873298.457,1753873298.473671
EA_2,r1,69.66341664665028,1753873305.8073049,1753873305.89258,1753873305.967,1753873305.983633
EA_2,r1,69.67043455556669,1753873312.7538965,1753873312.8129065,1753873312.874,1753873312.8899052
EA_2,r1,69.67101089519716,1753873319.6671572,1753873319.737434,1753873319.781,1753873319.7968032
EA_2,r1,69.67281803117719,1753873326.5869339,1753873326.6635916,1753873326.687,1753873326.7032666
EA_2,r1,69.67209459558362,1753873333.432629,1753873333.493979,1753873333.594,1753873333.6107728
EA_2,r1,69.66940373548516,1753873340.2807643,1753873340.354148,1753873340.401,1753873340.4174492
EA_2,r1,69.67349993047308,1753873347.0458708,1753873347.1201036,1753873347.208,1753873347.224059
EA_2,r1,69.6711427271151,1753873353.8462522,1753873353.9037967,1753873353.915,1753873353.9323163
EA_2,r1,69.66131006760308,1753873360.6751778,1753873360.765485,1753873360.823,1753873360.8394718
EA_2,r1,69.65952696189568,1753873367.6902454,1753873367.7701886,1753873367.830,1753873367.8463576
EA_2,r1,69.65930913804189,1753873374.506175,1753873374.5806508,1753873374.638,1753873374.6541338
EA_2,r1,69.65911993988577,1753873381.3966675,1753873381.486416,1753873381.546,1753873381.5621614
EA_2,r1,69.65858753268324,1753873388.2938788,1753873388.3519554,1753873388.453,1753873388.469635
EA_2,r1,69.6604279670788,1753873395.1242697,1753873395.212599,1753873395.259,1753873395.2760859
EA_2,r1,69.65968293090263,1753873401.98555,1753873402.0428119,1753873402.067,1753873402.083584
EA_2,r1,69.65904234629892,1753873408.7786314,1753873408.8375578,1753873408.874,1753873408.8911326
EA_2,r1,69.65227030243902,1753873416.1564426,1753873416.2279365,1753873416.281,1753873416.2970624
EA_2,r1,69.65172795814796,1753873423.0219183,1753873423.079599,1753873423.088,1753873423.1051502
EA_2,r1,69.64838580525377,1753873429.8578007,1753873429.9082522,1753873429.995,1753873430.0128717
EA_2,r1,69.64544632735992,1753873436.7395885,1753873436.8507257,1753873436.903,1753873436.9138265
EA_2,r1,69.64859610257498,1753873443.6896908,1753873443.7479959,1753873443.809,1753873443.8272862
EA_2,r1,69.64626945776186,1753873450.5689561,1753873450.633448,1753873450.715,1753873450.732117
EA_2,r1,69.64703761227233,1753873457.4741502,1753873457.5905566,1753873457.623,1753873457.6397085
EA_2,r1,69.64823410088775,1753873464.3373325,1753873464.4055586,1753873464.430,1753873464.4465935
EA_2,r1,69.64751626710553,1753873471.1846182,1753873471.2560325,1753873471.337,1753873471.3532407
EA_2,r1,69.6410632763302,1753873478.068826,1753873478.1698198,1753873478.243,1753873478.26008
EA_2,r1,69.63525749409679,1753873485.0220063,1753873485.079625,1753873485.150,1753873485.1662636
EA_2,r1,69.63566044877585,1753873491.9383185,1753873492.0116334,1753873492.056,1753873492.0728834
EA_2,r1,69.63504693880758,1753873498.793945,1753873498.897808,1753873498.991,1753873499.0075104
EA_2,r1,69.6352150995181,1753873505.9196298,1753873505.9750571,1753873505.997,1753873506.0130858
EA_2,r1,69.63487311793737,1753873512.8337994,1753873512.9069874,1753873513.004,1753873513.020171
EA_2,r1,69.63502718791766,1753873519.6536725,1753873519.713071,1753873519.811,1753873519.827039
EA_2,r1,69.63428821127467,1753873526.5159197,1753873526.5799794,1753873526.618,1753873526.634212
EA_2,r1,69.63471082829535,1753873533.4713225,1753873533.558028,1753873533.625,1753873533.6412818
EA_2,r1,69.6271441954299,1753873540.4235065,1753873540.4817505,1753873540.532,1753873540.5475354
EA_2,r1,69.62298433896503,1753873547.4326556,1753873547.4974523,1753873547.539,1753873547.5558147
EA_2,r1,69.62242336044814,1753873554.4150078,1753873554.4975464,1753873554.547,1753873554.5637317
EA_2,r1,69.62306970605798,1753873561.2951934,1753873561.3624837,1753873561.455,1753873561.4717052
EA_2,r1,69.62181246814096,1753873568.6524134,1753873568.735813,1753873568.764,1753873568.780527
EA_2,r1,69.62348008338667,1753873575.6275249,1753873575.7405484,1753873575.772,1753873575.788922
EA_2,r1,69.6219972544963,1753873582.7449515,1753873582.8148239,1753873582.880,1753873582.896586
EA_2,r1,69.62358217357806,1753873589.820656,1753873589.898901,1753873589.987,1753873590.003103
EA_2,r1,69.62274885673988,1753873596.7351325,1753873596.8278797,1753873596.894,1753873596.9103093
EA_2,r1,69.63388827527234,1753873603.6687934,1753873603.729448,1753873603.801,1753873603.817186
EA_2,r1,69.63498062394012,1753873610.6459389,1753873610.7735832,1753873610.809,1753873610.8261027
EA_2,r1,69.63383949835354,1753873617.6683948,1753873617.757001,1753873617.815,1753873617.831168
EA_2,r1,69.63606028330622,1753873624.5566986,1753873624.6163228,1753873624.721,1753873624.7314303
EA_2,r1,69.63486178793816,1753873631.496718,1753873631.6169205,1753873631.628,1753873631.6444104
